,insee,nom,bureau,bv_reconciliation
470,01004,Ambérieu-en-Bugey,01004_4,4
471,01004,Ambérieu-en-Bugey,01004_5,5
481,01004,Ambérieu-en-Bugey,01004_6,6
482,01004,Ambérieu-en-Bugey,01004_7,7
483,01004,Ambérieu-en-Bugey,01004_8,8
484,01014,Arbent,01014_1,1
488,01014,Arbent,01014_2,2
489,01015,Arboys-en-Bugey,01015_1,1
490,01015,Arboys-en-Bugey,01015_2,2
491,01024,Attignat,01024_1,1
494,01024,Attignat,01024_2,2
500,01033,Valserhône,01033_2,2
501,01033,Valserhône,01033_3,3
502,01025,Bâgé-Dommartin,01025_1,1
503,01025,Bâgé-Dommartin,01025_2,2
504,01033,Valserhône,01033_4,4
505,01033,Valserhône,01033_5,5
506,01033,Valserhône,01033_6,6
507,01025,Bâgé-Dommartin,01025_3,3
508,01027,Balan,01027_1,1
509,01027,Balan,01027_2,2
513,01033,Valserhône,01033_8,8
514,01034,Belley,01034_1,
518,01031,Bellignat,01031_1,1
519,01031,Bellignat,01031_2,2
520,01032,Béligneux,01032_2,2
521,01033,Valserhône,01033_1,1
522,01033,Valserhône,01033_10,10
523,01034,Belley,01034_2,2
524,01034,Belley,01034_3,3
525,01034,Belley,01034_4,4
526,01053,Bourg-en-Bresse,01053_13,13
527,01053,Bourg-en-Bresse,01053_15,15
528,01053,Bourg-en-Bresse,01053_16,16
529,01053,Bourg-en-Bresse,01053_18,18
530,01053,Bourg-en-Bresse,01053_19,19
533,01034,Belley,01034_5,5
534,01034,Belley,01034_6,6
535,01053,Bourg-en-Bresse,01053_2,2
536,01053,Bourg-en-Bresse,01053_3,3
537,01053,Bourg-en-Bresse,01053_4,4
538,01053,Bourg-en-Bresse,01053_5,5
539,01053,Bourg-en-Bresse,01053_6,6
540,01036,Valromey-sur-Séran,01036_1,1
541,01004,Ambérieu-en-Bugey,01004_2,2
542,01004,Ambérieu-en-Bugey,01004_3,3
543,01071,Cessy,01071_3,3
544,01072,Ceyzériat,01072_1,1
545,01072,Ceyzériat,01072_2,2
546,01053,Bourg-en-Bresse,01053_7,7
547,01053,Bourg-en-Bresse,01053_8,8
