,insee,nom,bureau,bv_reconciliation,bv_id
470,01004,Ambérieu-en-Bugey,01004_4,4,01004_4
471,01004,Ambérieu-en-Bugey,01004_5,5,01004_5
481,01004,Ambérieu-en-Bugey,01004_6,6,01004_6
482,01004,Ambérieu-en-Bugey,01004_7,7,01004_7
483,01004,Ambérieu-en-Bugey,01004_8,8,01004_8
484,01014,Arbent,01014_1,1,01014_1
488,01014,Arbent,01014_2,2,01014_2
489,01015,Arboys-en-Bugey,01015_1,1,01015_1
490,01015,Arboys-en-Bugey,01015_2,2,01015_2
491,01024,Attignat,01024_1,1,01024_1
494,01024,Attignat,01024_2,2,01024_2
500,01033,Valserhône,01033_2,2,01033_2
501,01033,Valserhône,01033_3,3,01033_3
502,01025,Bâgé-Dommartin,01025_1,1,01025_1
503,01025,Bâgé-Dommartin,01025_2,2,01025_2
504,01033,Valserhône,01033_4,4,01033_4
505,01033,Valserhône,01033_5,5,01033_5
506,01033,Valserhône,01033_6,6,01033_6
507,01025,Bâgé-Dommartin,01025_3,3,01025_3
508,01027,Balan,01027_1,1,01027_1
509,01027,Balan,01027_2,2,01027_2
513,01033,Valserhône,01033_8,8,01033_8
514,01034,Belley,01034_1,nan,01034_nan
518,01031,Bellignat,01031_1,1,01031_1
519,01031,Bellignat,01031_2,2,01031_2
520,01032,Béligneux,01032_2,2,01032_2
521,01033,Valserhône,01033_1,1,01033_1
522,01033,Valserhône,01033_1,1,01033_1
523,01034,Belley,01034_2,2,01034_2
524,01034,Belley,01034_3,3,01034_3
525,01034,Belley,01034_4,4,01034_4
526,01053,Bourg-en-Bresse,01053_13,13,01053_13
527,01053,Bourg-en-Bresse,01053_15,15,01053_15
528,01053,Bourg-en-Bresse,01053_16,16,01053_16
529,01053,Bourg-en-Bresse,01053_18,18,01053_18
530,01053,Bourg-en-Bresse,01053_19,19,01053_19
533,01034,Belley,01034_5,5,01034_5
534,01034,Belley,01034_6,6,01034_6
535,01053,Bourg-en-Bresse,01053_2,2,01053_2
536,01053,Bourg-en-Bresse,01053_3,3,01053_3
537,01053,Bourg-en-Bresse,01053_4,4,01053_4
538,01053,Bourg-en-Bresse,01053_5,5,01053_5
539,01053,Bourg-en-Bresse,01053_6,6,01053_6
540,01036,Valromey-sur-Séran,01036_1,1,01036_1
541,01004,Ambérieu-en-Bugey,01004_2,2,01004_2
542,01004,Ambérieu-en-Bugey,01004_3,3,01004_3
543,01071,Cessy,01071_3,3,01071_3
544,01072,Ceyzériat,01072_1,1,01072_1
545,01072,Ceyzériat,01072_2,2,01072_2
546,01053,Bourg-en-Bresse,01053_7,7,01053_7
547,01053,Bourg-en-Bresse,01053_8,8,01053_8
548,01053,Bourg-en-Bresse,01053_9,9,01053_9
549,01065,Buellas,01065_1,1,01065_1
550,01036,Valromey-sur-Séran,01036_2,2,01036_2
551,01036,Valromey-sur-Séran,01036_3,3,01036_3
552,0108,Champdor-Corcelles,01080_1,1,0108_1
553,0108,Champdor-Corcelles,01080_2,2,0108_2
554,01089,Château-Gaillard,01089_1,1,01089_1
555,01093,Châtillon-sur-Chalaronne,01093_1,1,01093_1
556,01065,Buellas,01065_2,2,01065_2
557,01071,Cessy,01071_1,1,01071_1
558,01036,Valromey-sur-Séran,01036_4,4,01036_4
559,01071,Cessy,01071_2,2,01071_2
560,01142,Dagneux,01142_1,1,01142_1
561,01142,Dagneux,01142_2,2,01142_2
562,01043,Beynost,01043_2,2,01043_2
563,01093,Châtillon-sur-Chalaronne,01093_2,2,01093_2
564,01093,Châtillon-sur-Chalaronne,01093_3,3,01093_3
565,01095,Nivigne et Suran,01095_1,1,01095_1
566,01142,Dagneux,01142_3,3,01142_3
567,01143,Divonne-les-Bains,01143_1,1,01143_1
568,01143,Divonne-les-Bains,01143_2,2,01143_2
569,01043,Beynost,01043_3,3,01043_3
570,01143,Divonne-les-Bains,01143_3,3,01143_3
571,01143,Divonne-les-Bains,01143_4,4,01143_4
572,01143,Divonne-les-Bains,01143_5,5,01143_5
573,01095,Nivigne et Suran,01095_2,2,01095_2
574,01098,Chazey-Bons,01098_1,1,01098_1
575,01098,Chazey-Bons,01098_2,2,01098_2
576,01099,Chazey-sur-Ain,01099_1,1,01099_1
577,01099,Chazey-sur-Ain,01099_2,2,01099_2
578,01105,Civrieux,01105_1,1,01105_1
579,01105,Civrieux,01105_2,2,01105_2
580,01049,La Boisse,01049_2,2,01049_2
581,01053,Bourg-en-Bresse,01053_1,1,01053_1
582,01157,Fareins,01157_1,1,01157_1
583,01157,Fareins,01157_2,2,01157_2
584,01159,Feillens,01159_1,1,01159_1
585,01053,Bourg-en-Bresse,01053_11,11,01053_11
586,0113,Bresse Vallons,01130_1,1,0113_1
587,0113,Bresse Vallons,01130_2,2,0113_2
588,01053,Bourg-en-Bresse,01053_12,12,01053_12
589,01135,Crozet,01135_1,1,01135_1
590,01135,Crozet,01135_2,2,01135_2
591,01138,Culoz,01138_1,1,01138_1
592,0116,Ferney-Voltaire,01160_1,1,0116_1
593,0116,Ferney-Voltaire,01160_2,2,0116_2
594,0116,Ferney-Voltaire,01160_3,3,0116_3
595,0116,Ferney-Voltaire,01160_4,4,0116_4
596,01202,Lagnieu,01202_2,2,01202_2
597,01138,Culoz,01138_2,2,01138_2
598,01166,Frans,01166_2,2,01166_2
599,01173,Gex,01173_1,1,01173_1
600,01173,Gex,01173_2,2,01173_2
601,01173,Gex,01173_3,3,01173_3
602,01163,Foissiat,01163_2,2,01163_2
603,01165,Francheleins,01165_1,1,01165_1
604,01165,Francheleins,01165_2,2,01165_2
605,01202,Lagnieu,01202_3,3,01202_3
606,01202,Lagnieu,01202_5,5,01202_5
607,01202,Lagnieu,01202_6,6,01202_6
608,01173,Gex,01173_4,4,01173_4
609,01173,Gex,01173_5,5,01173_5
610,01179,Grièges,01179_2,2,01179_2
611,01185,Plateau d'Hauteville,01185_1,1,01185_1
612,01249,Miribel,01249_4,4,01249_4
613,01249,Miribel,01249_5,5,01249_5
614,01249,Miribel,01249_6,6,01249_6
615,01262,Montluel,01262_1,1,01262_1
616,01215,Surjoux-Lhopital,01215_1,1,01215_1
617,01185,Plateau d'Hauteville,01185_2,2,01185_2
618,01185,Plateau d'Hauteville,01185_3,3,01185_3
619,01185,Plateau d'Hauteville,01185_4,4,01185_4
620,01215,Surjoux-Lhopital,01215_2,2,01215_2
621,01224,Loyettes,01224_1,1,01224_1
622,01224,Loyettes,01224_2,2,01224_2
623,01185,Plateau d'Hauteville,01185_5,5,01185_5
624,01185,Plateau d'Hauteville,01185_6,6,01185_6
625,01189,Injoux-Génissiat,01189_2,2,01189_2
626,01262,Montluel,01262_2,2,01262_2
627,01262,Montluel,01262_4,4,01262_4
628,01232,Marboz,01232_1,1,01232_1
629,01263,Montmerle-sur-Saône,01263_1,1,01263_1
630,01263,Montmerle-sur-Saône,01263_2,2,01263_2
631,01263,Montmerle-sur-Saône,01263_3,3,01263_3
632,01265,Montréal-la-Cluse,01265_1,1,01265_1
633,01266,Montrevel-en-Bresse,01266_1,1,01266_1
634,01189,Injoux-Génissiat,01189_3,3,01189_3
635,01192,Izernore,01192_1,1,01192_1
636,01192,Izernore,01192_2,2,01192_2
637,01194,Jassans-Riottier,01194_1,1,01194_1
638,01194,Jassans-Riottier,01194_2,2,01194_2
639,01232,Marboz,01232_2,2,01232_2
640,01194,Jassans-Riottier,01194_3,3,01194_3
641,01194,Jassans-Riottier,01194_4,4,01194_4
642,01202,Lagnieu,01202_1,1,01202_1
643,01283,Oyonnax,01283_1,1,01283_1
644,01266,Montrevel-en-Bresse,01266_2,2,01266_2
645,01269,Nantua,01269_1,1,01269_1
646,01269,Nantua,01269_2,2,01269_2
647,01238,Massieux,01238_1,1,01238_1
648,01238,Massieux,01238_2,2,01238_2
649,01275,Neyron,01275_1,1,01275_1
650,01275,Neyron,01275_2,2,01275_2
651,01277,Nivollet-Montgriffon,01277_1,1,01277_1
652,01277,Nivollet-Montgriffon,01277_2,2,01277_2
653,01281,Ornex,01281_1,1,01281_1
654,01281,Ornex,01281_2,2,01281_2
655,01283,Oyonnax,01283_1,1,01283_1
656,01283,Oyonnax,01283_11,11,01283_11
657,01283,Oyonnax,01283_2,2,01283_2
658,01283,Oyonnax,01283_3,3,01283_3
